"filename", "language", "C++", "CMake", "Batch", "Markdown", "YAML", "Swift", "JavaScript", "HTML", "JSON", "XML", "Dart", "Properties", "Gradle", "Kotlin", "WebAssembly Text Format", "comment", "blank", "total"
"i:\Dext\lib\controllers\survey_runtime.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 18, 20, 130
"i:\Dext\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 586, 0, 0, 0, 0, 40, 57, 683
"i:\Dext\lib\models\captcha.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 1, 17, 138
"i:\Dext\lib\models\home_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 5, 16, 98
"i:\Dext\lib\models\paginated_response.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"i:\Dext\lib\models\project.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 4, 69
"i:\Dext\lib\models\question.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 10, 27, 276
"i:\Dext\lib\models\survey.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 4, 93
"i:\Dext\lib\models\survey_result.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 8, 80
"i:\Dext\lib\models\survey_stats.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 5, 5, 72
"i:\Dext\lib\models\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 2, 6, 102
"i:\Dext\lib\pages\create_survey_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 4, 22, 550
"i:\Dext\lib\pages\edit_question_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1295, 0, 0, 0, 0, 47, 86, 1428
"i:\Dext\lib\pages\edit_survey_content_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 695, 0, 0, 0, 0, 19, 43, 757
